Mida;SelectionSort_Ordered;BubbleSort_Ordered;QuickSort_Ordered;HeapSort_Ordered;DirectSort_Reverse;BubbleSort_Reverse;QuickSort_Reverse;HeapSort_Reverse;DirectSort_Random;BubbleSort_Random;QuickSort_Random;HeapSort_Random
100;4950;198;480;364;4950;10098;386;274;4950;3168;322;302
200;19900;398;1153;829;19900;40198;960;669;19900;11940;1066;761
300;44850;598;1898;1325;44850;90298;1606;1066;44850;23920;1476;1210
400;79800;798;2698;1862;79800;160398;2306;1521;79800;47082;1954;1726
500;124750;998;3498;2471;124750;250498;3006;1957;124750;59880;3323;2253
600;179700;1198;4387;2962;179700;360598;3796;2447;179700;94642;4027;2808
700;244650;1398;5287;3532;244650;490698;4596;2917;244650;118830;4915;3289
800;319600;1598;6187;4143;319600;640798;5396;3457;319600;185368;5138;3925
900;404550;1798;7087;4779;404550;810898;6196;3880;404550;219356;6338;4503
1000;499500;1998;7987;5464;499500;1000998;6996;4439;499500;243756;6313;5116
1100;604450;2198;8964;6009;604450;1211098;7874;4944;604450;329700;7119;5641
1200;719400;2398;9964;6551;719400;1441198;8774;5485;719400;393272;8835;6222
1300;844350;2598;10964;7172;844350;1691298;9674;6030;844350;441660;9891;6765
1400;979300;2798;11964;7780;979300;1961398;10574;6534;979300;540014;10390;7392
1500;1124250;2998;12964;8447;1124250;2251498;11474;7179;1124250;629580;11143;7998
1600;1279200;3198;13964;9103;1279200;2561598;12374;7649;1279200;700362;13019;8588
1700;1444150;3398;14964;9724;1444150;2891698;13274;8211;1444150;764550;12366;9165
1800;1619100;3598;15964;10454;1619100;3241798;14174;8703;1619100;856324;13040;9892
1900;1804050;3798;16964;11146;1804050;3611898;15074;9364;1804050;934308;14172;10542
2000;1999000;3998;17964;11912;1999000;4001998;15974;9879;1999000;1039480;16111;11235
2100;2203950;4198;19017;12568;2203950;4412098;16928;10583;2203950;1183836;16087;11844
2200;2418900;4398;20117;13100;2418900;4842198;17928;11054;2418900;1297410;16925;12383
2300;2643850;4598;21217;13743;2643850;5292298;18928;11795;2643850;1406988;18508;12937
2400;2878800;4798;22317;14310;2878800;5762398;19928;12194;2878800;1525764;19966;13623
2500;3123750;4998;23417;14970;3123750;6252498;20928;12884;3123750;1684326;20224;14250
2600;3378700;5198;24517;15637;3378700;6762598;21928;13398;3378700;1777716;22208;14876
2700;3643650;5398;25617;16282;3643650;7292698;22928;14079;3643650;1900096;21011;15514
2800;3918600;5598;26717;16968;3918600;7842798;23928;14588;3918600;2071260;24146;16095
2900;4203550;5798;27817;17673;4203550;8412898;24928;15323;4203550;2209038;26664;16734
3000;4498500;5998;28917;18423;4498500;9002998;25928;15917;4498500;2405198;29238;17566
3100;4803450;6198;30017;19182;4803450;9613098;26928;16755;4803450;2677536;24050;18264
3200;5118400;6398;31117;19819;5118400;10243198;27928;17099;5118400;2655170;24741;18899
3300;5443350;6598;32217;20505;5443350;10893298;28928;17737;5443350;2823944;28501;19477
3400;5778300;6798;33317;21189;5778300;11563398;29928;18146;5778300;3188262;28512;20043
3500;6123250;6998;34417;21932;6123250;12253498;30928;18966;6123250;3352042;31233;20824
3600;6478200;7198;35517;22735;6478200;12963598;31928;19335;6478200;3411852;31176;21635
3700;6843150;7398;36617;23457;6843150;13693698;32928;20153;6843150;3891348;31997;22332
3800;7218100;7598;37717;24222;7218100;14443798;33928;20632;7218100;3897774;38530;23097
3900;7603050;7798;38817;25033;7603050;15213898;34928;21532;7603050;4031566;32262;23733
4000;7998000;7998;39917;25870;7998000;16003998;35928;21972;7998000;4278930;34159;24473
4100;8402950;8198;41022;26782;8402950;16814098;36934;22814;8402950;4607276;34982;25362
4200;8817900;8398;42222;27259;8817900;17644198;38034;23166;8817900;4627298;37509;25933
4300;9242850;8598;43422;27848;9242850;18494298;39134;24035;9242850;4900860;36669;26532
4400;9677800;8798;44622;28451;9677800;19364398;40234;24417;9677800;5102840;39772;27036
4500;10122750;8998;45822;29078;10122750;20254498;41334;25215;10122750;5335814;39999;27654
4600;10577700;9198;47022;29784;10577700;21164598;42434;25587;10577700;5555592;41589;28468
4700;11042650;9398;48222;30412;11042650;22094698;43534;26483;11042650;5977128;44407;29012
4800;11517600;9598;49422;31076;11517600;23044798;44634;26833;11517600;6065936;43705;29664
4900;12002550;9798;50622;31758;12002550;24014898;45734;27594;12002550;6378498;45007;30290
5000;12497500;9998;51822;32490;12497500;25004998;46834;27998;12497500;6618676;46835;31008
5100;13002450;10198;53022;33277;13002450;26015098;47934;29013;13002450;6904046;47188;31830
5200;13517400;10398;54222;33919;13517400;27045198;49034;29252;13517400;6987456;48969;32503
5300;14042350;10598;55422;34563;14042350;28095298;50134;29990;14042350;7397404;42920;33065
5400;14577300;10798;56622;35290;14577300;29165398;51234;30414;14577300;7644984;52483;33736
5500;15122250;10998;57822;36018;15122250;30255498;52334;31299;15122250;8028540;48389;34401
